"자동, 수동",경로점,GPS Time,Latitude,Longitude,Altitude
1,0,1693618066.44221,36.6618042,126.3414341,6.3099045753479
1,0,1693618066.4592102,36.6618043,126.3414341,6.3099045753479
1,0,1693618066.48321,36.6618043,126.3414341,6.3068156242370605
1,0,1693618066.4922101,36.6618043,126.3414341,6.302820205688477
1,0,1693618066.52021,36.6618043,126.3414341,6.302820205688477
1,0,1693618066.5432134,36.6618044,126.341434,6.297223091125488
1,0,1693618066.5582135,36.6618044,126.341434,6.297223091125488
1,0,1693618066.5772133,36.6618044,126.341434,6.289987564086914
1,0,1693618066.6002133,36.6618044,126.341434,6.282597541809082
1,0,1693618066.6102133,36.6618044,126.341434,6.282597541809082
1,0,1693618066.640213,36.6618045,126.3414339,6.275457859039307
1,0,1693618066.6642132,36.6618045,126.3414339,6.275457859039307
1,0,1693618066.673213,36.6618045,126.3414339,6.2688703536987305
1,0,1693618066.702213,36.6618045,126.3414339,6.263950347900391
1,0,1693618066.7102132,36.6618045,126.3414338,6.263950347900391
1,0,1693618066.7392159,36.6618045,126.3414338,6.2584075927734375
1,0,1693618066.758216,36.6618046,126.3414338,6.2584075927734375
1,0,1693618066.781216,36.6618046,126.3414338,6.2542595863342285
1,0,1693618066.8052158,36.6618046,126.3414338,6.248800277709961
1,0,1693618066.8212159,36.6618046,126.3414337,6.248800277709961
1,0,1693618066.8412192,36.6618046,126.3414337,6.242602825164795
1,0,1693618066.8652194,36.6618046,126.3414337,6.242602825164795
1,0,1693618066.8812191,36.6618046,126.3414337,6.2334418296813965
1,0,1693618066.8922193,36.6618046,126.3414337,6.226049423217773
1,0,1693618066.9222193,36.6618046,126.3414337,6.226049423217773
1,0,1693618066.944223,36.6618046,126.3414336,6.226049423217773
1,0,1693618066.954223,36.6618046,126.3414336,6.2152628898620605
1,0,1693618066.977223,36.6618046,126.3414336,6.207300662994385
1,0,1693618066.9992228,36.6618046,126.3414336,6.200461387634277
1,0,1693618067.0252228,36.6618046,126.3414336,6.200461387634277
1,0,1693618067.0382278,36.6618046,126.3414336,6.194611549377441
1,0,1693618067.0612278,36.6618046,126.3414335,6.194611549377441
1,0,1693618067.0852277,36.6618047,126.3414335,6.187844753265381
1,0,1693618067.0952277,36.6618047,126.3414335,6.181717395782471
1,0,1693618067.1252277,36.6618047,126.3414335,6.181717395782471
1,0,1693618067.135231,36.6618047,126.3414335,6.176881790161133
1,0,1693618067.155231,36.6618047,126.3414335,6.176881790161133
1,0,1693618067.185231,36.6618048,126.3414335,6.170441150665283
1,0,1693618067.195231,36.6618048,126.3414335,6.165413856506348
1,0,1693618067.218231,36.6618048,126.3414334,6.165413856506348
